NAME,STREET,CITY,ZIPCODE,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
51 Thompson St FLOOR 1,51 Thompson St FLOOR 1,Sanford,04073,1650,2.0,1.0,0,950
135 Cedar St #3,135 Cedar St #3,Bangor,04401,1500,2.0,1.0,0,1000
45 Old Greene Rd #3,45 Old Greene Rd #3,Lewiston,04240,1500,2.0,1.0,0,900
31 Saint Marys St APT 2,31 Saint Marys St APT 2,Biddeford,04005,2200,3.0,1.0,0,1240
(Undisclosed Address),(Undisclosed Address),Scarborough,04074,2800,2.0,1.0,0,1104
45 Gamage Ave #1,45 Gamage Ave #1,Auburn,04210,1550,2.0,1.0,0,1000
167 Barton Rd UNIT 2,167 Barton Rd UNIT 2,Windsor,04363,2200,2.0,1.0,0,920
111 Bradley St APT 16,111 Bradley St APT 16,Saco,04072,2375,2.0,1.0,0,1214
51 Frederic St #1,51 Frederic St #1,Portland,04102,4000,3.0,1.0,0,1569
73 Kennedy Memorial Dr (1),73 Kennedy Memorial Dr,Waterville,04901,975,2.0,1.0,4,790
73 Kennedy Memorial Dr (2),73 Kennedy Memorial Dr,Waterville,04901,1025,2.0,1.0,5,790
141 Spring St #2,141 Spring St #2,Portland,04101,2350,1.0,1.0,0,1000
42 Bridge St #A,42 Bridge St #A,Topsham,04086,1900,2.0,1.0,0,1250
76 South St #A,76 South St #A,Gorham,04038,3000,3.0,2.0,0,2000
3 Pond Rd #A,3 Pond Rd #A,Newcastle,04553,3700,3.0,2.0,0,2280
(Undisclosed Address),(Undisclosed Address),Bremen,04551,2800,3.0,2.0,0,2200
33 George St #201,33 George St #201,Biddeford,04005,1950,3.0,1.0,0,975
33 Elmwood St,33 Elmwood St,Portland,04103,2300,2.0,1.0,0,1000
166 Massachusetts Ave APT 2,166 Massachusetts Ave APT 2,Portland,04102,2600,2.0,1.0,0,1900
553 Sawyer St,553 Sawyer St,South Portland,04106,2895,2.0,1.0,0,1512
593 Main St APT 1,593 Main St APT 1,Westbrook,04092,1700,1.0,1.0,0,550
326 Main St #1,326 Main St #1,Westbrook,04092,3345,3.0,1.0,0,1784
43 N Perley Brook Rd,43 N Perley Brook Rd,Fort Kent,04743,1399,4.0,1.0,0,1024
(Undisclosed Address),(Undisclosed Address),Madawaska,04756,850,1.0,1.0,0,600
94 Graham St APT 301,94 Graham St APT 301,Biddeford,04005,2300,4.0,2.0,0,1300
49 Park St (1),49 Park St,Camden,04843,1975,1.0,1.0,3,900
49 Park St (2),49 Park St,Camden,04843,2100,2.0,1.0,5,1200
71 Atlantic Ave,71 Atlantic Ave,Old Orchard Beach,04064,1980,2.0,1.0,0,1313
59 W River Rd,59 W River Rd,Waterville,04901,2500,4.0,2.0,0,2400
23-25 Deerfield Rd #2,23-25 Deerfield Rd #2,Portland,04101,3200,2.0,2.0,0,1400
23 Pearl St #2,23 Pearl St #2,Lewiston,04240,1900,3.0,1.0,0,0
49 Westminster Ave APT 3,49 Westminster Ave APT 3,Portland,04103,2650,2.0,1.0,0,1000
255 Main St #1,255 Main St #1,Old Town,04468,1375,2.0,1.0,0,0
31 Kelley St,31 Kelley St,South Portland,04106,3000,3.0,2.0,0,1363
52 State St (1),52 State St,Portland,04101,1995,1.0,1.0,2,900
52 State St (2),52 State St,Portland,04101,1995,1.0,1.0,3,0
2 Hemlock Hill Rd,2 Hemlock Hill Rd,Cape Elizabeth,04107,3500,3.0,2.0,0,2262
218 Eastern Promenade APT 6,218 Eastern Promenade APT 6,Portland,04101,3995,2.0,2.0,0,0
6 Grist Mill Rd (1),6 Grist Mill Rd,Franklin,04634,1000,2.0,1.0,2,0
6 Grist Mill Rd (2),6 Grist Mill Rd,Franklin,04634,1500,1.0,1.0,0,0
3 1/2 Grant St,3 1/2 Grant St,Portland,04101,2500,1.0,1.0,0,1000
1 Boisvert St (1),1 Boisvert St,Old Orchard Beach,04064,1700,1.0,1.0,8,785
6 Little River Rd,6 Little River Rd,Old Orchard Beach,04064,2500,3.0,2.0,0,1763
6 Proulx Ct #B,6 Proulx Ct #B,Springvale,04083,1900,3.0,2.0,0,1150
156 Woodford St (1),156 Woodford St,Portland,04103,1900,1.0,1.0,1,483
156 Woodford St (2),156 Woodford St,Portland,04103,2500,2.0,1.0,4,758
8 Little River Rd,8 Little River Rd,Old Orchard Beach,04064,2500,3.0,2.0,0,1775
47 Pheasant Hill Trailer Park,47 Pheasant Hill Trailer Park,Milford,04461,1225,3.0,1.0,0,980
236 Mount Hope Ave,236 Mount Hope Ave,Bangor,04401,1500,2.0,1.0,0,0
45 Longfellow Dr,45 Longfellow Dr,Cape Elizabeth,04107,2500,3.0,1.0,0,1100
2 Tucker Ln,2 Tucker Ln,Cape Elizabeth,04107,5000,3.0,3.0,0,1800
10 Little River Rd,10 Little River Rd,Old Orchard Beach,04064,2500,4.0,2.0,0,2160
60 Pool St #1,60 Pool St #1,Biddeford,04005,1975,2.0,1.0,0,0
Lakewood Commons- 5 Progress Way (1),5 Progress Way,Bridgton,04009,1295,1.0,1.0,1,593
Lakewood Commons- 5 Progress Way (2),5 Progress Way,Bridgton,04009,1495,2.0,1.0,10,843
9 Kennard Rd,9 Kennard Rd,Windham,04062,1999,2.0,1.0,0,1292
7 Virdap St,7 Virdap St,Scarborough,04074,4300,3.0,1.0,0,2500
33 Westbrook St,33 Westbrook St,South Thomaston,04858,2000,4.0,2.0,0,2704
10 Exchange St (1),10 Exchange St,Portland,04101,2000,0,1.0,303,305
10 Exchange St (2),10 Exchange St,Portland,04101,2400,1.0,1.0,304,825
10 Exchange St (3),10 Exchange St,Portland,04101,3250,2.0,1.0,402,945
142 Park Ave APT 10,142 Park Ave APT 10,Portland,04101,1800,2.0,1.0,0,650
22 Bishop Rd APT 6,22 Bishop Rd APT 6,Poland,04274,1400,2.0,1.0,0,700
3 Island Avenue - 302 (1),3 Island Ave,Sanford,04073,1875,3.0,1.0,302,850
208 Rocky Ridge Dr APT 19,208 Rocky Ridge Dr APT 19,Bangor,04401,1800,3.0,2.0,0,1320
11 Headwall Dr #ID1309487P,11 Headwall Dr #ID1309487P,Bridgton,04009,10144,4.0,2.0,0,0
2 Sargent St (1),2 Sargent St,Westbrook,04092,2000,1.0,1.0,3,0
2 Sargent St (2),2 Sargent St,Westbrook,04092,2300,3.0,1.0,2,0
