NAME,ADDR,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
45 Maggie Ln #43,"['45 Maggie Ln #43', 'Portland', '04103']",2675,2.0,1.0,0,1100

(Undisclosed Address),"['(Undisclosed Address)', 'Madawaska', '04756']",850,1.0,1.0,0,600

72 Main St,"['72 Main St', 'South Berwick', '03908']",2500,3.0,1.0,0,1600

94 Graham St APT 301,"['94 Graham St APT 301', 'Biddeford', '04005']",2300,4.0,2.0,0,1300

49 Park St (1),"['49 Park St', 'Camden', '04843']",1975,1.0,1.0,3,900

49 Park St (2),"['49 Park St', 'Camden', '04843']",2100,2.0,1.0,5,1200

71 Atlantic Ave,"['71 Atlantic Ave', 'Old Orchard Beach', '04064']",1980,2.0,1.0,0,1313

185 Middle Rd,"['185 Middle Rd', 'Falmouth', '04105']",3500,4.0,2.0,0,1880

15 Windsor Ave,"['15 Windsor Ave', 'Augusta', '04330']",2100,3.0,1.0,0,960

34-36-38 Water St #1,"['34-36-38 Water St #1', 'Eastport', '04631']",1500,,1.0,0,650

3 Grant St #2,"['3 Grant St #2', 'Portland', '04101']",2400,1.0,1.0,0,1000

16 Orange St #1,"['16 Orange St #1', 'Lewiston', '04240']",1900,2.0,1.0,0,1140

38 Depot Rd,"['38 Depot Rd', 'Gray', '04039']",1600,1.0,1.0,0,800

402-404 Hammond St (1),"['402-404 Hammond St', 'Bangor', '04401']",975,1.0,1.0,3,0

402-404 Hammond St (2),"['402-404 Hammond St', 'Bangor', '04401']",1300,2.0,1.0,4,700

19 Sky Harbor Dr,"['19 Sky Harbor Dr', 'Biddeford', '04005']",4300,5.0,1.0,0,2950

87 High St,"['87 High St', 'Saco', '04072']",1400,1.0,1.0,0,0

"27-27 1/2 Laurel Avenue, Auburn, ME - 1/2 (1)","['27 Laurel Ave', 'Auburn', '04210']",1375,2.0,1.0,0,0

113 N Lancey St (1),"['113 N Lancey St', 'Pittsfield', '04967']",390,0,0.0,0,160

113 N Lancey St (2),"['113 N Lancey St', 'Pittsfield', '04967']",840,0,0.0,0,500

113 N Lancey St (3),"['113 N Lancey St', 'Pittsfield', '04967']",1550,1.0,1.0,0,0

37 Vesper St,"['37 Vesper St', 'Scarborough', '04074']",2200,2.0,2.0,0,1700

74 Sweet Fern Dr,"['74 Sweet Fern Dr', 'Greenbush', '04418']",1050,2.0,1.0,0,0

11 Butler Street - C (1),"['11 Butler St', 'Springvale', '04083']",1675,2.0,1.0,0,795

82 Westview Rd,"['82 Westview Rd', 'Damariscotta', '04543']",3300,3.0,3.0,0,2850

71 Overlook Rd (1),"['71 Overlook Rd', 'Windham', '04062']",2200,1.0,1.0,ADU,0

71 Overlook Rd (2),"['71 Overlook Rd', 'Windham', '04062']",2300,1.0,1.0,2,488

808 Stevens Ave #2,"['808 Stevens Ave #2', 'Portland', '04103']",2100,2.0,1.0,0,1500

8 Summer St #3,"['8 Summer St #3', 'Kennebunk', '04043']",1750,1.0,1.0,0,0

11 Neptune Dr,"['11 Neptune Dr', 'Brunswick', '04011']",3500,4.0,3.0,0,2250

17 Pheasant (1),"['17 Pheasant Dr', 'Chelsea', '04330']",2295,3.0,2.0,2,1750

32 Village Green Dr,"['32 Village Green Dr', 'Ogunquit', '03907']",2500,1.0,1.0,0,660

9 Kennard Rd,"['9 Kennard Rd', 'Windham', '04062']",1999,2.0,1.0,0,1292

204 Pool St #202,"['204 Pool St #202', 'Biddeford', '04005']",1500,1.0,1.0,0,0

31 Highland Ave,"['31 Highland Ave', 'York', '03909']",2750,5.0,2.0,0,2194

"160 Holland St/ 2 Towle St, Lewiston, ME - 5 (2 Towle #5) (1)","['2 Towle St', 'Lewiston', '04240']",1350,2.0,1.0,5,0

10 Exchange St (1),"['10 Exchange St', 'Portland', '04101']",2000,0,1.0,303,305

10 Exchange St (2),"['10 Exchange St', 'Portland', '04101']",2400,1.0,1.0,304,825

10 Exchange St (3),"['10 Exchange St', 'Portland', '04101']",3250,2.0,1.0,402,945

799 Stillwater Ave (1),"['799 Stillwater Ave', 'Old Town', '04468']",1090,2.0,1.0,0,720

799 Stillwater Ave (2),"['799 Stillwater Ave', 'Old Town', '04468']",1200,3.0,2.0,0,1023

116 Old Bath Rd #1,"['116 Old Bath Rd #1', 'Brunswick', '04011']",1900,2.0,2.0,0,891

33 Westbrook St,"['33 Westbrook St', 'South Thomaston', '04858']",2000,4.0,2.0,0,2704

17.5 Hudson St,"['17.5 Hudson St', 'Bangor', '04401']",1050,1.0,1.0,0,0

900 State St,"['900 State St', 'Bangor', '04401']",3700,5.0,2.0,0,5000

21 Riverbank Court - C (1),"['21 Riverbank Ct', 'Springvale', '04083']",1950,3.0,1.0,0,1100

22 Bishop Rd APT 6,"['22 Bishop Rd APT 6', 'Poland', '04274']",1400,2.0,1.0,0,700

63 William St #1,"['63 William St #1', 'Portland', '04103']",2500,2.0,1.0,0,1100

3 Island Avenue - 302 (1),"['3 Island Ave', 'Sanford', '04073']",1875,3.0,1.0,302,850

2 Sargent St (1),"['2 Sargent St', 'Westbrook', '04092']",2000,1.0,1.0,3,0

2 Sargent St (2),"['2 Sargent St', 'Westbrook', '04092']",2300,3.0,1.0,2,0

2 Sargent St (3),"['2 Sargent St', 'Westbrook', '04092']",2300,3.0,1.0,1,0

208 Rocky Ridge Dr APT 19,"['208 Rocky Ridge Dr APT 19', 'Bangor', '04401']",1800,3.0,2.0,0,1320

11 Headwall Dr #ID1309487P,"['11 Headwall Dr #ID1309487P', 'Bridgton', '04009']",10148,4.0,2.0,0,0

237 Woodford St #12-2,"['237 Woodford St #12-2', 'Portland', '04103']",1750,1.0,1.0,0,650

19 Naomi St #ID1255632P,"['19 Naomi St #ID1255632P', 'Sebago', '04029']",19130,4.0,2.0,0,0

103 Douglas Hill Rd #ID1255674P,"['103 Douglas Hill Rd #ID1255674P', 'Sebago', '04029']",11047,3.0,2.0,0,0

19 Beach Rd #ID1255688P,"['19 Beach Rd #ID1255688P', 'Casco', '04015']",12796,3.0,2.0,0,0

65 Sebago Rd #ID1255607P,"['65 Sebago Rd #ID1255607P', 'Sebago', '04029']",15071,4.0,1.0,0,0

