NAME,ADDR,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
557 Brunswick St,"['557 Brunswick St', 'Old Town', '04468']",2400,2.0,1.0,0,2000

16 Prescott St #1,"['16 Prescott St #1', 'Lewiston', '04240']",1650,3.0,1.0,0,0

83 Main St APT 4,"['83 Main St APT 4', 'Richmond', '04357']",1395,2.0,1.0,0,1200

5 Congress St,"['5 Congress St', 'Biddeford', '04005']",3000,3.0,2.0,0,1440

146 E Grand Ave #1,"['146 E Grand Ave #1', 'Old Orchard Beach', '04064']",1395,1.0,1.0,0,400

(Undisclosed Address),"['(Undisclosed Address)', 'Portland', '04102']",2575,2.0,1.0,0,1500

32 Devonshire St UNIT 1,"['32 Devonshire St UNIT 1', 'Portland', '04103']",2695,2.0,1.0,0,1000

8 Scott St,"['8 Scott St', 'Portland', '04102']",2800,2.0,1.0,0,1100

(Undisclosed Address),"['(Undisclosed Address)', 'Lewiston', '04240']",1725,3.0,1.0,0,1000

18 Moose Trl #4,"['18 Moose Trl #4', 'Manchester', '04351']",2000,1.0,1.0,0,900

252 Windsor St,"['252 Windsor St', 'Randolph', '04346']",2945,3.0,2.0,0,1965

35 Main St #13,"['35 Main St #13', 'Biddeford', '04005']",1450,1.0,1.0,0,300

7 High St (1),"['7 High St', 'Lisbon Falls', '04252']",1600,2.0,1.0,0,0

7 High St (2),"['7 High St', 'Lisbon Falls', '04252']",1900,3.0,1.0,2,0

1060 Forest Ave #2,"['1060 Forest Ave #2', 'Portland', '04103']",2900,2.0,1.0,0,1067

45 Pleasant View Ridge Rd #2,"['45 Pleasant View Ridge Rd #2', 'South China', '04358']",1700,2.0,1.0,0,0

3 Union St #202,"['3 Union St #202', 'Biddeford', '04005']",2200,3.0,1.0,0,1000

1627 Union St,"['1627 Union St', 'Bangor', '04401']",1600,2.0,1.0,0,1200

34 Winter St #B,"['34 Winter St #B', 'Topsham', '04086']",1650,2.0,1.0,0,1500

10 Hillcrest Avenue (1),,1700,1.0,1.0,2B,525

10 Hillcrest Avenue (2),,1700,1.0,1.0,2A,620

10 Hillcrest Avenue (3),,2300,4.0,1.0,1,1850

326 Long Sands Rd #B,"['326 Long Sands Rd #B', 'York', '03909']",2000,3.0,2.0,0,1176

88 Barters Point Road Ln,"['88 Barters Point Road Ln', 'Saint George', '04860']",2000,1.0,1.0,0,528

38 Howard St #1,"['38 Howard St #1', 'Presque Isle', '04769']",900,1.0,1.0,0,600

5 Harmony Ln #28,"['5 Harmony Ln #28', 'Lewiston', '04240']",1900,2.0,1.0,0,0

36 Dyke Rd,"['36 Dyke Rd', 'Kennebunkport', '04046']",1300,1.0,1.0,0,624

291 Main St,"['291 Main St', 'Eliot', '03903']",2950,2.0,1.0,0,1220

5 Pond Rd,"['5 Pond Rd', 'Lewiston', '04240']",2750,3.0,1.0,0,1176

223 Cleaves St #2B,"['223 Cleaves St #2B', 'Biddeford', '04005']",2500,2.0,1.0,0,950

46 Turner St (1),"['46 Turner St', 'Portland', '04101']",3799,2.0,1.0,2,900

46 Turner St (2),"['46 Turner St', 'Portland', '04101']",3999,2.0,1.0,1,1000

42 Lower Cross Rd #A,"['42 Lower Cross Rd #A', 'Bangor', '04401']",1400,1.0,1.0,0,960

(Undisclosed Address),"['(Undisclosed Address)', 'Rockland', '04841']",1250,,1.0,0,400

41 Meadow Farm Rd #41,"['41 Meadow Farm Rd #41', 'Bangor', '04401']",1750,2.0,1.0,0,1200

6 Imperial St (1),"['6 Imperial St', 'Old Orchard Beach', '04064']",1750,1.0,1.0,2,640

6 Imperial St (2),"['6 Imperial St', 'Old Orchard Beach', '04064']",1750,1.0,1.0,8,448

51 Maple St #D,"['51 Maple St #D', 'Lisbon Falls', '04252']",1400,2.0,1.0,0,0

77 Skyway St #1,"['77 Skyway St #1', 'Presque Isle', '04769']",1500,2.0,1.0,0,800

220 Kennebunk Rd APT 2,"['220 Kennebunk Rd APT 2', 'Alfred', '04002']",1600,1.0,1.0,0,0

4 Olde Farm Way #A,"['4 Olde Farm Way #A', 'Berwick', '03901']",2500,3.0,1.0,0,1200

352 Saint Thomas St #7,"['352 Saint Thomas St #7', 'Madawaska', '04756']",1200,2.0,1.0,0,1000

8 Swans Lndg,"['8 Swans Lndg', 'Eliot', '03903']",3100,2.0,1.0,0,1000

9 Beach Ave #1,"['9 Beach Ave #1', 'Kennebunk', '04043']",2900,2.0,2.0,0,1120

33A Water St #A,"['33A Water St #A', 'Newport', '04953']",1300,1.0,1.0,0,0

117 Main Rd #1,"['117 Main Rd #1', 'Milford', '04461']",1650,3.0,1.0,0,1400

29 Pleasant Ave #8,"['29 Pleasant Ave #8', 'Portland', '04103']",3000,2.0,1.0,0,0

68 Berwick Rd #1,"['68 Berwick Rd #1', 'Ogunquit', '03907']",1450,,1.0,0,350

1300 Atlantic Hwy,"['1300 Atlantic Hwy', 'Northport', '04849']",3400,2.0,1.0,0,1200

46 Pleasant Hill Dr,"['46 Pleasant Hill Dr', 'Waterville', '04901']",2950,3.0,2.0,0,1344

8 Lessard Ave #2,"['8 Lessard Ave #2', 'Biddeford', '04005']",2300,3.0,1.0,0,0

(Undisclosed Address),"['(Undisclosed Address)', 'Shapleigh', '04076']",2300,2.0,1.0,0,1030

8 Page St (1),"['8 Page St', 'Brunswick', '04011']",2000,2.0,1.0,3,800

8 Page St (2),"['8 Page St', 'Brunswick', '04011']",2500,3.0,1.0,0,1200

8 Page St (3),"['8 Page St', 'Brunswick', '04011']",2650,3.0,15.0,1,1400

119 Mill St #119,"['119 Mill St #119', 'Orono', '04473']",2000,2.0,1.0,0,1400

413 Hammond St APT 6,"['413 Hammond St APT 6', 'Bangor', '04401']",1600,2.0,1.0,0,850

11 Folsom Dr,"['11 Folsom Dr', 'Biddeford', '04005']",2800,4.0,1.0,0,1800

12 Washington St #302,"['12 Washington St #302', 'Biddeford', '04005']",2750,2.0,1.0,0,1000

28 Pacer Way #310,"['28 Pacer Way #310', 'Scarborough', '04074']",2700,2.0,1.0,0,1059

473 Union St,"['473 Union St', 'Bangor', '04401']",1350,1.0,1.0,0,600

1373 Post Rd #6D,"['1373 Post Rd #6D', 'Wells', '04090']",1600,2.0,2.0,0,1260

